year,country,soe,arrivals,arrivals_male,arrivals_female
2020,ABW,Kedah,0,0,0
2020,ABW,Pulau Pinang,0,0,0
2020,AFG,Johor,7,4,3
2020,AFG,Kedah,4,4,0
2020,AFG,Perlis,0,0,0
2020,AFG,Pulau Pinang,0,0,0
2020,AFG,Sarawak,0,0,0
2020,AFG,Selangor,553,443,110
2020,AGO,Johor,0,0,0
2020,AGO,Kedah,0,0,0
2020,AGO,Sabah,0,0,0
2020,AGO,Selangor,18,12,6
2020,AIA,Selangor,0,0,0
2020,ALB,Johor,71,39,32
2020,ALB,Kedah,6,4,2
2020,ALB,Perak,1,1,0
2020,ALB,Perlis,1,1,0
2020,ALB,Pulau Pinang,3,1,2
2020,ALB,Sabah,1,1,0
2020,ALB,Sarawak,1,1,0
2020,ALB,Selangor,113,58,55
2020,AND,Johor,0,0,0
2020,AND,Kedah,0,0,0
2020,AND,Perlis,0,0,0
2020,AND,Pulau Pinang,0,0,0
2020,AND,Selangor,15,9,6
2020,ANT,Selangor,0,0,0
2020,ARE,Johor,33,23,10
2020,ARE,Kedah,9,6,3
2020,ARE,Kelantan,0,0,0
2020,ARE,Perak,0,0,0
2020,ARE,Perlis,0,0,0
2020,ARE,Pulau Pinang,6,3,3
2020,ARE,Sabah,1,1,0
2020,ARE,Sarawak,1,1,0
2020,ARE,Selangor,701,491,210
2020,ARG,Johor,365,202,163
2020,ARG,Kedah,525,261,264
2020,ARG,Kelantan,8,3,5
2020,ARG,Melaka,0,0,0
2020,ARG,Perak,0,0,0
2020,ARG,Perlis,38,18,20
2020,ARG,Pulau Pinang,18,8,10
2020,ARG,Sabah,16,9,7
2020,ARG,Sarawak,9,7,2
2020,ARG,Selangor,1843,978,865
2020,ARG,W.P. Labuan,1,1,0
2020,ARM,Johor,15,6,9
2020,ARM,Kedah,6,3,3
2020,ARM,Kelantan,1,1,0
2020,ARM,Perak,2,0,2
2020,ARM,Perlis,0,0,0
2020,ARM,Pulau Pinang,2,2,0
2020,ARM,Sabah,0,0,0
2020,ARM,Sarawak,0,0,0
2020,ARM,Selangor,158,65,93
2020,ATA,Selangor,1,0,1
2020,ATG,Johor,7,4,3
2020,ATG,Kedah,0,0,0
2020,ATG,Pulau Pinang,0,0,0
2020,ATG,Sarawak,0,0,0
2020,ATG,Selangor,42,26,16
2020,AUS,Johor,13730,8106,5624
2020,AUS,Kedah,1862,1056,806
2020,AUS,Kelantan,53,29,24
2020,AUS,Melaka,14,10,4
2020,AUS,Negeri Sembilan,1,1,0
2020,AUS,Pahang,75,35,40
2020,AUS,Perak,451,252,199
2020,AUS,Perlis,211,126,85
2020,AUS,Pulau Pinang,4486,2366,2120
2020,AUS,Sabah,1473,722,751
2020,AUS,Sarawak,1528,904,624
2020,AUS,Selangor,61218,35884,25334
2020,AUS,Terengganu,2,2,0
2020,AUS,W.P. Labuan,44,30,14
2020,AUT,Johor,536,362,174
2020,AUT,Kedah,390,222,168
2020,AUT,Kelantan,26,23,3
2020,AUT,Melaka,1,1,0
2020,AUT,Negeri Sembilan,0,0,0
2020,AUT,Pahang,0,0,0
2020,AUT,Perak,22,16,6
2020,AUT,Perlis,66,41,25
2020,AUT,Pulau Pinang,171,115,56
2020,AUT,Sabah,56,31,25
2020,AUT,Sarawak,38,27,11
2020,AUT,Selangor,2468,1522,946
2020,AUT,Terengganu,0,0,0
2020,AUT,W.P. Labuan,2,1,1
2020,AZE,Johor,10,7,3
2020,AZE,Kedah,15,11,4
2020,AZE,Kelantan,0,0,0
2020,AZE,Melaka,2,1,1
2020,AZE,Perlis,0,0,0
2020,AZE,Pulau Pinang,0,0,0
2020,AZE,Sabah,3,2,1
2020,AZE,Sarawak,4,1,3
2020,AZE,Selangor,287,172,115
2020,AZE,W.P. Labuan,1,1,0
2020,BDI,Pulau Pinang,0,0,0
2020,BDI,Sarawak,0,0,0
2020,BDI,Selangor,4,3,1
2020,BEL,Johor,631,430,201
2020,BEL,Kedah,370,201,169
2020,BEL,Kelantan,19,13,6
2020,BEL,Melaka,1,1,0
2020,BEL,Negeri Sembilan,2,1,1
2020,BEL,Pahang,5,2,3
2020,BEL,Perak,10,7,3
2020,BEL,Perlis,53,32,21
2020,BEL,Pulau Pinang,169,111,58
2020,BEL,Sabah,56,37,19
2020,BEL,Sarawak,46,25,21
2020,BEL,Selangor,3122,2065,1057
2020,BEL,W.P. Labuan,7,5,2
2020,BEN,Johor,3,1,2
2020,BEN,Kedah,0,0,0
2020,BEN,Perak,0,0,0
2020,BEN,Pulau Pinang,0,0,0
2020,BEN,Sabah,1,1,0
2020,BEN,Sarawak,0,0,0
2020,BEN,Selangor,12,8,4
2020,BFA,Perak,0,0,0
2020,BFA,Pulau Pinang,0,0,0
2020,BFA,Selangor,13,13,0
2020,BGD,Johor,7864,7036,828
2020,BGD,Kedah,83,41,42
2020,BGD,Kelantan,2,1,1
2020,BGD,Melaka,17,17,0
2020,BGD,Negeri Sembilan,0,0,0
2020,BGD,Pahang,1,1,0
2020,BGD,Perak,0,0,0
2020,BGD,Perlis,0,0,0
2020,BGD,Pulau Pinang,222,205,17
2020,BGD,Sabah,24,17,7
2020,BGD,Sarawak,379,339,40
2020,BGD,Selangor,49038,42927,6111
2020,BGD,W.P. Labuan,40,40,0
2020,BGR,Johor,138,96,42
2020,BGR,Kedah,146,75,71
2020,BGR,Kelantan,0,0,0
2020,BGR,Pahang,4,4,0
2020,BGR,Perak,4,4,0
2020,BGR,Perlis,2,2,0
2020,BGR,Pulau Pinang,11,7,4
2020,BGR,Sabah,6,3,3
2020,BGR,Sarawak,2,2,0
2020,BGR,Selangor,1082,622,460
2020,BGR,W.P. Labuan,2,1,1
2020,BHR,Johor,24,12,12
2020,BHR,Kedah,6,4,2
2020,BHR,Kelantan,1,1,0
2020,BHR,Perlis,0,0,0
